,count,hate_speech,offensive_language,neither,class,tweet
9721,3,0,1,2,2,God damn zebras every Virginia possession the whistle blows geeze.
9722,3,0,0,3,2,"God made male and female blades of grass. Every living thing must reproduce itself to stay on this Earth: birds
9724,3,1,0,2,2,God people can be so mean. This Asian guy held the door for these girls and they said they were surprised he could see it with his slant eye
9731,3,0,0,3,2,"Going through my computer and found the ""Shake that monkey"" video we made freshman year in Dillard! &#128514;&#128514; @BruhKiaraThrowd was Too Short"
9732,3,0,0,3,2,Going to California today for some analyzer training. Going into Dick Whitman mode. Wish I had a tan colored suit to wear for the flight.
9735,3,0,0,3,2,Going up to the view point and seeing star child..... What the monkey
9738,6,0,0,6,2,Golden Oreos are the best
9741,3,0,1,2,2,Gone bust it open for a real nicca &#128540;&#128540;
9744,3,0,0,3,2,Gonna shower for the sole purpose of shampooing my beard.
9752,3,0,1,2,2,"Good day
9754,3,0,0,3,2,Good evening Charlie and friends @Charlie4927 @StacyDmomof5 @PattiSM74 @cantUCIMblonde @Kacado
9757,3,0,0,3,2,Good morning Charlie @Charlie4927 @jrstws @qnoftherealm @SavvyHuman @scdorn @yrwol7 @PlainUnamerican @ErickInNC @PuterPrsn @tomwfry
9759,3,0,0,3,2,"Good morning Twitter. Make today a positive one. If you can't do that
9763,3,0,1,2,2,Good ol' Charlie. #wwc http://t.co/U3kkrlwOqk
9764,3,0,0,3,2,Good pick birds
9770,3,0,0,3,2,"Good! She's a ghetto thug! &#8220;@grasswire: ""So FPD just arrested @SenNasheed for being in the street. #Ferguson&#8221; https://t.co/puIwlUnBIz&#8221;"
9771,3,0,0,3,2,Goodbye hop plants ! Time to dink u!!!! Luv it!!! http://t.co/ImsIE8MKJm
9772,3,0,0,3,2,Goodbye x Young Dolph featuring Trinidad James &amp; Shy Glizzy
9779,3,0,0,3,2,Gorgeous RT@EmrgencyKittens: Calico Maine coon cat http://t.co/jalyL7h60f
9791,3,0,0,3,2,Got chunky marmalade today of a greatful customer for my service over the past 2 yrs #PostieTweet #ServiceMatters http://t.co/pSEnGvyxrw
9793,3,0,1,2,2,Got damn the Lakers trash....
9800,9,0,1,8,2,Got my vans on.. My pockets chunky
9806,3,0,0,3,2,Got to 18 on flappy bird...
9807,3,0,0,3,2,Got to 8 on flappy birds can you say happiest girl on earth
9815,3,0,0,3,2,Gotta bad red bone that look something like Ashanti
9818,3,0,0,3,2,Gotta keep the sox down while they're down! #RedSox #Yankees #mlb
9820,3,0,0,3,2,Gotta love the undignified sprint across the yellow light to transfer buses because the first one was dawdling
9828,3,0,0,3,2,Graham crackers and hazelnut coffee are my fave &#128152;&#9786;&#65039;
9829,3,0,0,3,2,"Grandma's Homemade Potato Soup - An old fashioned
9830,3,0,0,3,2,"Grandma: ""(Macon) is a rinky dink mosquito-filled cop-infested swamp."" LMAO"
9833,3,0,0,3,2,Great lead battle and then Ricky hits Danica for a yellow. Oh boy. #NASCAR
9834,3,0,0,3,2,Green grass and tree trash. http://t.co/SO9C7g3FQ5
9839,3,0,1,2,2,"Grr... Woke up ickblah. Congestion ew chunky bloaty gross. Missed the gym. 1 1/2hr wait for the Dr. 
9847,3,0,0,3,2,"Guess I'll have to add Robin Williams right next to Charlie Chaplin.
9860,3,0,1,2,2,HBA trash
9862,3,1,0,2,2,"HOT #ISIS SOCIAL MEDIA PHOTO: Laughing Jihadis Get Baby To Kick Severed Head &#8211; ***warning
9864,6,1,1,4,2,"HOT ISIS SOCIAL MEDIA PHOTO: Laughing Jihadis Get Baby To Kick Severed Head &#8211; ***warning
9865,3,0,0,3,2,HOW &#8220;@darrenrovell: Deep Fried Sweet Tea on a graham cracker crust at State Fair of Texas (via @gravweldon) http://t.co/KVzhlmCsls&#8221;
9886,3,0,0,3,2,"Haha
9906,3,0,0,3,2,Hand me a brew and I'll chug it
9923,3,0,0,3,2,Happy birthday bird! @codyflitcraft
9931,6,0,0,6,2,Happy birthday to my pops. Old negro spiritual is 64 today lol
9935,3,0,0,3,2,Happy hangover #Bloomington #btown #iubb #IU #Indiana #hoosierdaddy #HoosierNation #hoosiers the resurrection is now complete. #ncaa #big10
9938,3,0,1,2,2,Harlem World trash? Interesting.
9941,3,0,0,3,2,Has anyone ever purchased baseball field dirt? I really want dirt from @Yankees Stadium for my grandfather's grave. #weirdtweets
9959,3,0,0,3,2,Have they seen Planet of the Apes &#8220;@WhatTheFFacts: Brazil has the highest number of monkey species of any nation in the world with 116.&#8221;
9961,3,0,1,2,2,"Have you ever popped champagne on a plane
9965,3,0,0,3,2,Have you hugged a wacko-bird today?
9966,3,1,0,2,2,Have you noticed all the ghetto people naming their kids after cars? Mercedes&#8230; Lexus&#8230; Repossessed.
9977,3,0,0,3,2,Hazlenut coffee and graham crackers every morning &#128525;&#128588;&#128152;
9991,3,0,0,3,2,He gets this bratty attitude from Brittany .... and its for the birds.
9999,6,0,0,6,2,He may be the President but that doesn't necessarily mean he's in the sole position of power in regard to making such decisions.
10001,3,0,0,3,2,"He never replied to my asking about his calling me a ""redneck"" @gigg423 @psherm07 @EchoesErrant @jstines3"
10007,3,0,0,3,2,He said capri-sun and zebra cake&#128514;
10012,3,0,0,3,2,He so trash RT @yusufyuie Cary Williamsc GOT CARRIED lol
10019,3,0,1,2,2,He's a pretty damn good actor. But as a gay man it's awesome to see an openly queer actor given the lead role for a major superhero film.
10024,3,0,0,3,2,He's trash tho &#8220;@_dimejii: Its 10 Million Naira If You Want Me On Your Song &#8211; Wizkid http://t.co/Nsxaacj4jG via @naijaxclusive&#8221;
10025,3,0,0,3,2,He's trash. &#8220;@jlojpg: @TRAPGURLRON he said he's not doing collabs for anything less than 10 mil naira like booyyyyyy &#128514;&#8221;
10027,3,0,0,3,2,"Hear the birds on the summer breeze
10043,3,0,0,3,2,Hella just ordered me some beanies
10044,6,0,1,5,2,"Hello American people
10049,3,0,0,3,2,"Her excuse is ""when I die u can have all my gold."" I don't even like yellow gold anymore. I gave her all of mine."
10058,3,0,0,3,2,Here we go brownies here we go! WOOF WOOF!
10062,3,0,1,2,2,Hey @DreamShakeSBN fans. If anyone is wondering what the yellow tab on the back of the collar for - it's for teams that have won a champion
10064,3,0,0,3,2,Hey @Yankees fans is this a good score ? #lookingformore http://t.co/HLQAl7cIGf
10069,3,0,0,3,2,"Hey everybody
10070,3,0,0,3,2,"Hey if I stir a Spider
10075,3,0,0,3,2,"Hey! I'm gonna get some sort of bird tattooed on my body
10080,3,0,0,3,2,"Hi Charlie
10090,3,0,0,3,2,Highhhhh watching dawn of planet of the apes #StonerNation #LifeComplete
10109,3,0,1,2,2,Hmu talmbout match but when I pull up its 30 other niccas wit ya &#128530;
10136,3,0,1,2,2,"Hoi
10139,3,0,1,2,2,"Hold all your ghetto labeled and endorsed vodka brands
10145,3,0,1,2,2,Holy monkey balls its warm today
10148,3,0,0,3,2,Home to chicken and penne Alfredo and Oreos and banjo
10149,6,0,0,6,2,Homemade Soup is very good with vegetables on the side with crackers http://t.co/LiRwGwkdzE
10150,3,0,0,3,2,Homework and boonies date with Caitlin tonight&gt;&gt;
10163,3,0,0,3,2,Horny called me asking her to buy her a drink this morning and then this jiggaboo walks in WITH A SONIC DRINK IN HER HAND #DONE
10167,3,0,1,2,2,Houston has so many trash drivers
10171,3,0,0,3,2,How about a Charles in Charge movie with Shia LeBouf as Charlie and Ryan Gosling as Buddy. #WhyNot.
10174,3,0,0,3,2,How bout them redskins?
10193,3,0,0,3,2,How is Angry Birds the movie going to work? They're just floating bird heads?
10194,3,0,0,3,2,How is that not a yellow on Ronaldo for full on body bumping the ref?
10195,3,1,0,2,2,How long after the redskins change their nsme will all memorabilia w/redskind name be deemef racist and therefore illegal? Any thoughts?
10196,3,0,1,2,2,How long are they going to let the fools in #Ferguson continue? Stop pussy footin' &amp; disperse them by WHATEVER means necessary!
10198,3,0,0,3,2,How many #Yankees players have 3K hits? You have to put #DerekJeter in the conversation for Best Yankee Ever. His numbers demand it.
10202,3,0,1,2,2,"How now
10205,3,0,1,2,2,How the hell was David Murphy's hit not a home run?! Clearly over the yellow line. @MLB another umpire mess up.... Smh
10224,3,0,0,3,2,Hugs or Kisses? &#8212; Hugs. It gives you a warm fuzzy feeling. http://t.co/HRY3sVlwgs
10238,3,0,1,2,2,I I haven't watched a single episode of #LHHNY however I'm watching the reunion. This coon shit. I mean the levels of ratcheticity
10240,3,0,1,2,2,"I LOVE my 10 &amp; 5 but most days they remind me why birth control is important later in life.
10276,3,0,0,3,2,I almost stepped on a bird running around the floor ah they are so creepy
10282,3,0,1,2,2,I also had a dream that I went to the FOB show and FOB was rude to me and @audizzle was getting badly hit on by some creep
10287,3,0,0,3,2,I always soprised dat I has mo while followers den colored
10289,3,0,0,3,2,"I am a Yankee by birth
10290,3,0,0,3,2,I am a celestial body hello http://t.co/yKDRM9Ax69
10291,3,0,0,3,2,I am currently using a yellow marker that is literally called 'Spanish Orange' for this drawing of @Wikiparaz ; absolute perfection.
10292,3,0,1,2,2,I am extremely sad to have to admit that some of the best 21st century Arabic rhymes have been written by Jihadis
10307,3,0,0,3,2,I asked the name of the bird ancient Egyptians used as the sun of god Heru (Horus).The Pheonix (firebird).
10308,3,0,0,3,2,I ate a monkey. #AndNowIHaveEbola
10315,3,0,0,3,2,"I be jamming Skid Row
10345,3,0,0,3,2,"I been to mushroom mountain
10369,3,0,0,3,2,I can hear birds outside!!!
10370,3,0,0,3,2,I can hear my mom playing flappy bird in the living room &#128514;&#128514;
10371,3,0,0,3,2,I can hear the birds chirpin!
10372,3,0,1,2,2,"I can jig
10391,3,0,0,3,2,"I can't even find it in me to mock anymore. This is scary. This mass ignorance is terrifying. RT @KateElliottSFF Yes
10401,3,0,0,3,2,I can't play flappy bird. It makes me angry.
10402,3,0,0,3,2,I can't sleep so ima watch Spongebob and eat crackers and peanut butter
10409,3,0,0,3,2,I can't take you serious if you wear colored contacts.
10414,3,0,0,3,2,"I can't wait to post the designs of my new walkout shirts
10416,4,1,1,2,2,I can't wait to watch the saints put their weiner right in the cowboys butts . Dallas is trash
10417,3,0,0,3,2,I can't watch Charlie St. Cloud because I cry like a little baby. Every. Single. Time. &#128557;&#128557;&#128557;&#128557;
10421,3,0,1,2,2,I cannot express how infinitely better the book is to this trash.
10426,3,0,1,2,2,I confess. I'm autistic or something. I thought #Aerosmith #DreamOn was #LedZeppelin until like yesterday....... #retarded
10431,3,0,0,3,2,I could go for a brownie right now
10436,3,0,1,2,2,I couldn't press send. That tweet about anchor babies was even too raw for me.
10442,3,0,0,3,2,I def got a few shades darker cutting my mama grass. There goes my yellow frame lol
10453,3,0,1,2,2,"I didnt buy any alcohol this weekend
10461,3,0,0,3,2,I don&#8217;t talk trash regarding sports.
10465,6,0,1,5,2,I don't blame Crash for not sharing with you @geoffsheen760 you'll probably talk trash about it like you do food trucks #GeoffHatesPuppies
10498,3,0,1,2,2,I don't know what you been told but I love them project hoes
10499,3,0,0,3,2,"I don't know what's more stressful
10513,3,0,0,3,2,I don't own any #Onslaught on #Vinyl I may have to get one now. Their new Lp is available in army green coloured vinyl
10529,3,0,0,3,2,I don't want to deal with yesterday's trash! There's a reason it got thrown out in the first place
10532,3,0,0,3,2,"I done been to the top
10548,3,0,1,2,2,I dont understand rich people who dress like trash
10574,3,0,0,3,2,I feel utterly retarded. Thanks big brother&#128563;&#128514; @Crawford96M
10580,3,0,0,3,2,I find it amusing that Senator @tedcruz is an anchor baby. #LMAO
10587,3,0,0,3,2,I found your arm in that trash receptacle and your leg in the mud down by that stream.You should consider keeping better track of your limbs
10588,3,0,0,3,2,I from the planet of apes king Kong clips
10603,3,0,1,2,2,I get a 50 pound bag of dawg for the mutts
10631,3,0,0,3,2,I got a uncle through marriage dude got hips like big momma I swear all the lil kids mock his walk and he don't even know it
10638,3,1,0,2,2,I got dirty birds hey shoot like Larry bird hey
10650,6,0,0,6,2,I got my eyes on this red bone
10669,3,0,1,2,2,I got to get the trash out and make breakfast for the Frau and start laundry so y'all be good till I get back. Cracker Out!
10680,3,0,0,3,2,I grew to hate blonde and primary colored weaves but that wouldn't stop me from requesting some good mouthwork.
10694,3,0,0,3,2,I had froyo with brownies for dinner tonight. Being an adult is making these executive decisions
10702,3,0,0,3,2,"I hate ""chunky"" pasta sauce. KEEP PESKY VEGETABLES WAY FROM ME"
10703,3,0,0,3,2,I hate Hashtag activism. No lie. I think 95% of it is trash.
10717,3,0,0,3,2,"I hate being profiled. I'm not ""country""
10736,3,0,1,2,2,I hate my dog's name.. It sounds so ghetto. &#128528;
10747,3,0,0,3,2,I hate that I wake up early the morning after I drink. But the fact that there was a cold yellow gatorade in the fridge gets me so happy
10752,3,1,0,2,2,I hate that wee boy wae the squinty eyes in the game of thrones. #Suchaprick #hopehegetskilled
10780,3,1,0,2,2,I hate when females try to sound like bird heads
10801,3,0,0,3,2,I hate yellow jackets can't feel arms and back lol
10805,3,0,0,3,2,I have a feeling tonight will be trash.
10810,3,0,0,3,2,I have never actually seen a yellow duck.
10811,3,1,0,2,2,I have no clothes that make me look like a redneck but I tried my best &#128514;
10816,3,0,0,3,2,I have really light colored eyebrows naturally and it's not ok
10819,3,0,0,3,2,I have to dress up tomorrow for mock interviews and I still don't know how to tie the tie &#128530;
10825,3,0,0,3,2,I hear the birds in the summer breeze; I drive fast; I am alone at midnight.
10826,3,0,0,3,2,I hear the same thing day in and day out.... its for the birds.
10833,3,0,0,3,2,I hope Charlie brought the lube for this test...
10836,3,0,0,3,2,"I hope the Yankees get Soriano
10837,3,0,0,3,2,I hope the trash I talk abt @CNN's poor product doesn't hurt my chances of getting hired as a legal correspondent. I was jk CNN.
10842,3,0,0,3,2,I hopes dis don't come as a severe shock to use but I'm colored
10843,3,0,0,3,2,I ignore birds
10865,3,0,0,3,2,I just might buy myself an A-Rod jersey #NewYork #Yankees #MLB
10867,3,0,0,3,2,I just need the Yankees to win the pennant!
10869,3,0,0,3,2,I just put down a pan of brownies
10871,3,0,0,3,2,I just saw a man have a actual conversation with his bird haha
10877,3,0,0,3,2,I just wanna cuddle with my boyfriend under a fuzzy blanket &amp; drink hot tea and have my hair played with so I can go to bed.
10885,3,0,1,2,2,I just want some Oreos &amp; milk honestly. Just stop by the store &amp; pick up some on your way back lol
10889,3,0,0,3,2,I just want vanilla Oreos
10890,3,0,0,3,2,I just whipped up these #homemade #pickled #eggs while home being a cripple... Made with #garlic&#8230; http://t.co/0xKFnW3luF
10894,3,0,0,3,2,"I keep running under trees or when birds fly to avoid their
10901,3,0,1,2,2,"I know I'm a hillbilly
10910,3,0,0,3,2,"I know right. Get one guy out!! Man! @pjmclaugh: You had ONE JOB
10929,3,0,0,3,2,I learnt about birds as a child. Best time to learn @BBCRadio2
10934,3,0,0,3,2,I like Rivers he talks a lot of trash you can tell he loves the game
10957,3,0,0,3,2,I like the Yankees toinight -107 http://t.co/J4rhaMBu
10959,3,0,0,3,2,"I like to mock Apple
10961,6,0,0,6,2,"I liked a @YouTube video http://t.co/QGNHiLdTTv The Sock Fairy
10964,3,0,0,3,2,I live for two-bite brownies
10968,3,0,0,3,2,I look like a dusty bird today..
10975,3,0,0,3,2,"I love ""Butter"" by ATCQ
10978,3,0,0,3,2,I love Liv when she gets ghetto
10990,3,0,0,3,2,I love floating monkey heads as much as the next person but Active Surplus' website is just redonkulus. http://www.activesurplus.com/
10998,3,0,0,3,2,"I love how we can marry and still be the same queer
10999,3,0,0,3,2,I love jigg jigg&#128514;
11001,3,0,0,3,2,I love me some chunky babies &#128525;&#128525;
11006,3,0,0,3,2,I love the acoustic domes in the hallways. Favorite place to sing in public. No lie. http://t.co/G6Az9ryUbQ
11012,3,0,0,3,2,I love watching birds migrate. Wish I understood why it's such a peaceful sight.
11013,3,0,0,3,2,I love wearing fuzzy socks to work
11021,3,0,0,3,2,I luh to lick the middle like an Oreo
11022,3,0,0,3,2,"I luv watching gas monkey
11027,3,0,0,3,2,I may or may not have at least 4 FOB related tattoos already planned out.
11031,3,0,1,2,2,"I mean most ppl confuse when to use ""to"" and ""too""
11034,3,0,0,3,2,"I mean...If you blow a foul there
11038,3,0,0,3,2,I miss Twinkies and Susie Qs. Tragic loss to society. What is next? Pixie Turtles?
11043,3,0,0,3,2,I miss my monkey &#128533;
11053,3,0,0,3,2,I need a Spanish WOMAN. They don't have ghetto names. They can cook. They down with u till the casket and they curvy.
11060,3,0,0,3,2,I need a cowboy killer and a cold one about now. @mr_dtb probably too tired tho to get down.&#128541;
11062,3,0,1,2,2,I need a heated bra because my nips hurt so bad!
11065,3,0,0,3,2,I need like 43 fuzzy blankets to sleep &#128525;&#128139;
11069,3,0,1,2,2,I need sleep but can't seem to get that place that let's you clam down and sleep :(
11076,3,0,0,3,2,I need to pick between two wigs. The agony. ;__; My cute multi-colored bob or my red Stevie Nicks curly one?
11084,3,0,0,3,2,I nicknamed Lux Coach K because without him we would of never heard of Duke lol Charlie
11094,3,0,1,2,2,I openly admit to being the level of white trash that will drive across town to the gas station with free hot dogs &amp; half price drinks.
11098,3,0,1,2,2,I pictured Angus running up the side of FOB Sharana with every day in Afghanistan @ReturnTo1776 http://t.co/zj1MK6w7EF
11106,3,0,0,3,2,I rather watch the oak cliff redskins and oak cliff comets play hell
11124,6,0,0,6,2,I really want a girl to make me some brownies &#128553;&#128557;
11125,3,0,0,3,2,I really want a sports star to get a pet monkey and name him Achilles.
11131,3,0,0,3,2,I remember laying on a hospital bed after being shot ranting about how coconut shrimp was trash.
11133,3,0,0,3,2,I remember the VA Tech band called us planet of the apes. I was ready to flip
11139,3,0,0,3,2,I rescued a baby bird &#128035; http://t.co/Ad7yy4CuQt
11143,3,0,1,2,2,I said middle school days as in the ghetto way people... &#8212; and what I am nor here to impress you what are you go... http://t.co/qYpvIKcRfY
11154,3,0,1,2,2,I see u jigga!!!! Hillary $wankin
11155,6,1,0,5,2,I see ya big Boi in the Oreo V's
11159,3,0,0,3,2,I sho do miss my Uncle Tom
11166,3,0,0,3,2,I should start wearing beanies more
11169,3,0,1,2,2,I show do like The Jeffersons. Dat George make me wanna open up a dry cleaning stow and call all da white folk honkey
11185,3,0,0,3,2,I still can't understand why we don't dump our trash in the ocean. it's pretty big and it'd surely be cheaper than launching it into space.
11211,3,0,0,3,2,I swear the people cleaning the office switch what side the trash vs recycling cans are on on purpose to mess with me.
11225,3,0,0,3,2,I talked to some birds... I fell in love again..
11237,3,1,0,2,2,I think I found a normal roommate again! Praise be to Jesus! These current ones are about to get their throats slit in their sleep!
11241,3,0,0,3,2,I think I'll have salad bar for lunch today. Gotta make up for the birthday brownies somehow... #LastHurrahThenDietStarts
11242,3,0,0,3,2,I think I'll just eat this brownie and pass out
11244,3,0,0,3,2,I think I'm gonna walk around the house free as a bird.
11247,3,0,0,3,2,I think about the fact that dinosaurs evolved into birds every time I eat chicken. Dinosaurs are delicious.
11264,3,0,1,2,2,I thought she was albino tho &#128563;
11268,3,0,1,2,2,"I told her too. I said ""bri don't get in tweef with anyone because you're trash at it"" and then she goes and tweefs with like 6 freshman"
11274,3,0,0,3,2,"I took 2 ""Rebel vs. Yankee"" tests (40 questions
11275,3,0,0,3,2,I traveled back in time to Middle-earth and crept up on my enemy. I slit the hobbit's throat and by reflex vomited into my trembling hand.
11283,3,0,0,3,2,I uploaded a @YouTube video http://t.co/8rLE3JNr GOProud Makes Money Out of Twinkie Crisis in Free Market Spirit
11284,3,0,0,3,2,"I uploaded a @YouTube video http://t.co/JHUuZpgr UPDATE ON UGANDA ANTI-GAY BILL: Freemasonry
11286,3,0,0,3,2,I used to chug vodka and orange juice. I also used to chug vodka and gatorade... I used to chug vodka.
11287,3,0,0,3,2,"I used to get GRs a lot
11288,3,0,0,3,2,I used to picture him coming up the wadi to FOB Sharana with a barrel of brandy for me @iiarwatch
11300,3,0,1,2,2,I wanna go to a trash talk concert
11302,3,0,0,3,2,I wanna try pot brownies.
11303,3,0,0,3,2,I want Oreos!! Who can help me
11304,3,0,1,2,2,I want a cowboy killer
11305,3,0,0,3,2,I want a four loco right now so I can chug it and go straight to sleep.
11307,3,0,0,3,2,I want a slope job so I can get away from everything and be by myself for two weeks. I hate being around people unless they are my friends.
11313,3,0,0,3,2,"I want some cookies
11315,3,0,0,3,2,I want some monkey bread &#128553;&#128588;
11316,3,0,0,3,2,I want some monkey bread.
11319,3,0,0,3,2,I want to go to the pumpkin patch but the love birds will make it a date and then the rest of us will be uncomfortable.
11326,3,0,0,3,2,"I was accused of never taking a full front face shot
11332,3,0,1,2,2,"I was flying down the slope and just rammed into this small Asian boy
11338,3,0,0,3,2,I was in love with Charlie &#128553;
11341,3,0,0,3,2,I was informed about a bird (pheonix) today that I could not find a physical image of.All paintings.Mythological or extinct?
11348,3,0,0,3,2,I was told never fold &amp; never sell my sole
11359,3,0,0,3,2,I went outside and got mad bc this weather is trash
11360,3,0,0,3,2,"I went to see This is Where I Leave You
11361,3,0,0,3,2,"I wept when #ThurmanMunson died
11401,3,0,0,3,2,I wonder how many Yankee fans are hurt that Derek Jeter is out until after the all star break lmao &#128514;
11410,3,0,1,2,2,"I would bitch about the weather being bipolar
11414,3,0,1,2,2,I would describe @whatupag's work as blaxican.
11417,3,0,0,3,2,"I would like to test and see how long your tongue really is
11423,3,0,1,2,2,"I would went in on that ref hell
11433,3,0,0,3,2,I'd be the best at owning a bird. I could teach them the funniest things to say.
11434,3,0,0,3,2,I'd do anything for an Oreo vanilla bean drink from dunkin &amp; a chocolate chip muffin from there too..I'm starving &amp; that sounds so good now.
11439,3,0,0,3,2,I'd kill to meet Charlie Sheen.
11442,9,0,3,6,2,I'd rather follow some girls on Instagram rather than have their bird brain tweets on my tl
11444,3,0,0,3,2,I'd rather hear Neal DeGrasse Tyson tell me about scientific mistakes in their assumptions than some WASP... http://t.co/tLec4vKUYd
11448,3,0,0,3,2,I'll be a Yankee fan forever
11460,3,0,0,3,2,I'll give you a baby zebra girl.
11464,3,0,1,2,2,I'll let u clam on top and let dat nookie pop I'm in dat cookie jar I ain't no rookie girllll
11475,6,0,0,6,2,"I'm 81 and I still eat animal crackers
11476,3,0,0,3,2,"I'm Camera Shy
11478,3,0,0,3,2,I'm Hun-gry
11479,3,0,0,3,2,I'm Pregnant Charlie Brown! #WorstPeanutsSpecialEver
11503,3,1,0,2,2,"I'm a redneck
11505,3,0,0,3,2,I'm a sucker for colored eyes &#128532;&#128532;
11511,3,0,0,3,2,I'm about to post my Charlie Clips vs Yung ill rap battle review in a few
11519,3,0,1,2,2,"I'm an 18 year old gay driving through the back roads of redneck Virginia blasting Cheetah Girls. If that doesn't scream sitcom
11541,3,0,1,2,2,I'm definitely watching that mook/ lux battle today damn it!!!
11551,3,0,0,3,2,I'm finna see the Yankees win a baseball game
11560,3,0,1,2,2,I'm getting sleepy and my phone is acting retarded...
11570,3,0,1,2,2,"I'm going to dress up as trash for Halloween. Oh wait
11574,4,0,1,3,2,I'm gonna be ghetto and color over the stain with a sharpie ctfu
11581,3,0,0,3,2,I'm hooked on monkey phonics.
11584,3,0,0,3,2,I'm in my bed like half asleep and stuff. But I really want that Oreo coffee coolatta.
11590,3,0,0,3,2,I'm jus a trill nicca mane
11600,3,0,0,3,2,I'm just sitting here waiting for twitter to explode once this Yankees game ends
11601,3,0,0,3,2,I'm just tryna get to sleep before the birds start getting rowdy.
11611,3,0,0,3,2,I'm making pollo a la brasso today
11621,3,0,0,3,2,"I'm not big on the ""Uncle Tom"" slur anyway
11626,3,0,0,3,2,I'm not from the ghetto.
11631,3,0,0,3,2,I'm not really a phone kinda guy.. I actually hate talking on the phone &amp; texting kinda trash to me also.
11640,3,0,0,3,2,I'm okay with rasor talking trash
11697,6,1,2,3,2,I'm such a retard sometimes.
11703,6,0,0,6,2,I'm the biggest redskins dam right now if they get this stop
11730,3,0,0,3,2,I've got a birds eye view of all the secrets you keep.
11732,3,0,0,3,2,"I've got saltine crackers and red wine here. Is it possible to DIY a communion? I
11734,3,0,0,3,2,I've never had a Twinkie.
11736,3,0,0,3,2,I've pretty much eaten an entire box of my nephew's cheese nips. I only feel bad a little.
11737,3,0,0,3,2,I've seen #MajorLeauge with Charlie Sheen...........and the #Giants committed sin when they worshipped #barrybonds as a batting coach&gt;
11741,3,0,0,3,2,"I
11744,3,0,1,2,2,ISIS Jihadis Discuss &#8216;Buying And Selling&#8217; Yezidi Girls As Slaves http://t.co/UoPgIPOpWS #tcot #pjnet
11745,3,0,0,3,2,"ISIS Jihadis In Australia Shoot Man In The Face
11746,3,0,0,3,2,ISIS Supporters in America: The Jihadis Next Door http://t.co/u0YHWkD34c http://t.co/0XHPbRL9EQ
11764,3,1,0,2,2,Idiotic censorship drive by #France President fails to understand that he's empowering Jihadis by censoring the internet wholesale #fail
11777,3,0,0,3,2,"If Ashton is trash then what does that make me! Come on guys someone like Ashton can't be trash
11789,3,0,1,2,2,"If I ever committ a crime
11802,3,0,0,3,2,If I were a kid today...Michelle Obama's lunch would wind up in the trash can
11805,3,0,0,3,2,"If I'm legit trying
11809,3,0,0,3,2,"If Temple beats Rutgers today
11829,3,0,0,3,2,If anyone wants to bring me a sweet tea to my party.. That'd make my bday perfect.. Well that and cracker barrel &#128525;&#128525;
11832,3,0,1,2,2,"If ever sports seemed scripted 
11841,3,0,0,3,2,If i wasn't a Yankee fan i probably would be a SF Giants fan LOL
11852,3,0,1,2,2,If only I dated a girl that lived off Mack Road I could just get the holy trinity of Sacramento ghettos on a daily basis
11869,3,0,1,2,2,"If someone pushes you too hard today
11874,3,0,0,3,2,"If the @Yankees get Dempster
11875,3,0,0,3,2,"If the Yankees can't beat the Red Sox
11876,3,0,0,3,2,"If the crust ain&#8217;t graham cracker
11886,3,0,1,2,2,If train officers that are wearing body armor stand back to watch the smoke clear. Why does every gun ho wanna be... http://t.co/cuLyANyQ
11906,3,0,1,2,2,If you a hoe ima treat you like one just like if you're a good girl ima treat you like one. I don't discriminate
11914,3,1,0,2,2,"If you are descended from anything less than European nobility and/or royalty
11923,3,0,1,2,2,If you didn't have tattoos as a diversion for your bird chest and malnourished body sir... your instagram would be trash
11928,3,1,0,2,2,"If you enjoy hunting for sport
11953,3,0,0,3,2,"If you must call me a cracker
11972,3,0,0,3,2,"If you think that the term #redskins being offensive is a political issue
11987,3,1,0,2,2,"If you're not directly descended from European royalty and upper nobility
11990,3,0,1,2,2,"If you've ever been to drunk to fish
11998,3,0,1,2,2,Iggy is trending. Twitter's trash today.
11999,3,0,0,3,2,Igot to level 21 so far on flappy birds smh
12015,3,0,1,2,2,Im a twat
12027,3,0,0,3,2,Im glad I met this chick. Reminds me the trash I left behind
12031,3,0,0,3,2,Im in mickey ds and he gone ask for a double cheese burger wit no cheese!!! #FOH
12046,3,0,0,3,2,Im ready for today &#127936;&#128308;&#9898;#iu #iubb #hoosiers #hoosierstate #ncaa #big10 #michigan #gameday #btown&#8230; http://t.co/6g7JNMoW
12057,3,0,0,3,2,Im telling you man! RT @KfromtheG: Roethlisberger got his record expunged and became trash.
12084,6,0,0,6,2,Ima trash @ForeverMEM85 in fantasy
12112,3,0,0,3,2,In-N-Out is like the sunshine and blue sky. The song of a bird. A smile at the front porch. The perfume of the ocean on wind-kissed cheeks.
12113,3,0,0,3,2,Inbed eating left over poppadom. #livinthedream
12118,3,0,1,2,2,Indiana lost to Bowling Green. Big Ten continues to be trash.
12121,3,0,0,3,2,"Inspiring a huge crowd of tourists to sit and watch the ""wild meadow rats"" over here by the trash cans. Cameras are out. There is gasping."
12125,3,0,1,2,2,International law enforcement operation disrupts Shylock banking malware - PCWorld: International law enforcem... http://t.co/NPVP80gFh6
12126,3,0,0,3,2,International law enforcement operation disrupts Shylock banking malware - PCWorld: International law enforcem... http://t.co/XEzf7Cj5qT
